game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,1,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,2,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,3,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,4,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,5,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,6,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,7,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,8,F,F,7,10,7,10
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,9,F,F,7,10,14,20
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,10,F,F,7,10,21,30
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,11,F,F,7,10,28,40
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,12,F,F,7,10,35,50
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,13,F,F,7,10,42,60
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,14,F,F,7,10,49,70
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,15,F,F,7,10,56,80
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,16,F,F,7,10,63,90
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,17,F,F,7,10,70,100
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,18,F,F,7,10,77,110
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,19,F,F,7,10,84,120
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,20,F,F,7,10,91,130
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,21,F,F,7,10,98,140
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,22,F,F,7,10,105,150
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,23,F,F,7,10,112,160
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,24,J,F,0,0,112,160
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,25,F,F,7,10,119,170
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,26,F,F,7,10,126,180
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,27,F,F,7,10,133,190
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,28,F,F,7,10,140,200
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,29,F,F,7,10,147,210
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_kimi,30,F,F,7,10,154,220
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,1,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,2,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,3,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,4,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,5,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,6,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,7,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,8,F,F,7,10,7,10
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,9,F,F,7,10,14,20
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,10,F,F,7,10,21,30
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,11,F,F,7,10,28,40
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,12,F,F,7,10,35,50
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,13,F,F,7,10,42,60
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,14,F,F,7,10,49,70
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,15,F,F,7,10,56,80
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,16,F,F,7,10,63,90
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,17,F,F,7,10,70,100
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,18,F,F,7,10,77,110
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,19,F,F,7,10,84,120
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,20,F,F,7,10,91,130
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,21,F,F,7,10,98,140
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,22,F,F,7,10,105,150
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,23,F,F,7,10,112,160
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,24,J,F,0,0,112,160
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,25,F,F,7,10,119,170
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,26,F,F,7,10,126,180
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,27,F,F,7,10,133,190
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,28,F,F,7,10,140,200
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,29,F,F,7,10,147,210
BoS,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_kimi,30,F,F,7,10,154,220
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,1,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,2,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,3,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,4,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,5,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,6,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,7,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,8,F,F,7,10,7,10
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,9,F,F,7,10,14,20
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,10,F,F,7,10,21,30
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,11,F,F,7,10,28,40
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,12,F,F,7,10,35,50
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,13,F,F,7,10,42,60
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,14,F,F,7,10,49,70
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,15,F,F,7,10,56,80
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,16,F,F,7,10,63,90
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,17,F,F,7,10,70,100
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,18,F,F,7,10,77,110
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,19,F,F,7,10,84,120
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,20,F,F,7,10,91,130
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,21,F,F,7,10,98,140
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,22,F,F,7,10,105,150
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,23,F,F,7,10,112,160
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,24,F,F,7,10,119,170
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,25,F,F,7,10,126,180
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,26,F,F,7,10,133,190
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,27,F,F,7,10,140,200
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,28,F,F,7,10,147,210
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,29,F,F,7,10,154,220
BoS,fixed,30,,,True,0.3,baseline,2,act_deepseek,act_kimi,30,F,F,7,10,161,230
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,1,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,2,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,3,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,4,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,5,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,6,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,7,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,8,F,F,7,10,7,10
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,9,F,F,7,10,14,20
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,10,F,F,7,10,21,30
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,11,F,F,7,10,28,40
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,12,F,F,7,10,35,50
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,13,F,F,7,10,42,60
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,14,F,F,7,10,49,70
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,15,F,F,7,10,56,80
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,16,F,F,7,10,63,90
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,17,F,F,7,10,70,100
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,18,F,F,7,10,77,110
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,19,F,F,7,10,84,120
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,20,F,F,7,10,91,130
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,21,F,F,7,10,98,140
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,22,F,F,7,10,105,150
BoS,fixed,30,,,True,0.3,baseline,3,act_deepseek,act_kimi,23,F,F,7,10,112,160
