game_type,path,L_window,reasoning_mode,p_bin,rounds,coop_rate,avg_p,mean_points1,mean_points2
BoS,down,5,baseline,0,8,1.0,0.9233668341708543,10.0,7.0
BoS,down,5,baseline,1,6,1.0,0.9321608040201005,10.0,7.0
BoS,down,5,baseline,2,6,1.0,0.9396984924623116,10.0,7.0
BoS,down,5,baseline,3,6,1.0,0.9472361809045227,10.0,7.0
BoS,down,5,baseline,4,10,1.0,0.9565326633165828,10.0,7.0
BoS,down,5,baseline,5,12,1.0,0.9648241206030151,10.0,7.0
BoS,down,5,baseline,6,12,1.0,0.9723618090452261,10.0,7.0
BoS,down,5,baseline,7,12,1.0,0.9798994974874372,10.0,7.0
BoS,down,5,baseline,8,15,1.0,0.9874371859296482,10.0,7.0
BoS,down,5,baseline,9,20,1.0,0.9962311557788943,10.0,7.0
BoS,down,5,cot,0,8,1.0,0.9233668341708543,7.375,9.625
BoS,down,5,cot,1,6,0.16666666666666666,0.9321608040201005,1.1666666666666667,1.6666666666666667
BoS,down,5,cot,2,6,0.3333333333333333,0.9396984924623116,2.3333333333333335,3.3333333333333335
BoS,down,5,cot,3,6,0.5,0.9472361809045227,3.5,5.0
BoS,down,5,cot,4,10,0.7,0.9565326633165828,4.9,7.0
BoS,down,5,cot,5,12,0.6666666666666666,0.9648241206030151,4.666666666666667,6.666666666666667
BoS,down,5,cot,6,12,0.5833333333333334,0.9723618090452261,4.083333333333333,5.833333333333333
BoS,down,5,cot,7,12,0.5,0.9798994974874372,3.5,5.0
BoS,down,5,cot,8,15,0.4,0.9874371859296482,3.2,3.6
BoS,down,5,cot,9,20,0.5,0.9962311557788943,4.1,4.4
BoS,down,5,scot,0,8,1.0,0.9233668341708543,7.0,10.0
BoS,down,5,scot,1,6,1.0,0.9321608040201005,7.0,10.0
BoS,down,5,scot,2,6,1.0,0.9396984924623116,7.0,10.0
BoS,down,5,scot,3,6,1.0,0.9472361809045227,7.0,10.0
BoS,down,5,scot,4,10,1.0,0.9565326633165828,7.0,10.0
BoS,down,5,scot,5,12,1.0,0.9648241206030151,7.0,10.0
BoS,down,5,scot,6,12,1.0,0.9723618090452261,7.0,10.0
BoS,down,5,scot,7,12,1.0,0.9798994974874372,7.0,10.0
BoS,down,5,scot,8,15,1.0,0.9874371859296482,7.0,10.0
BoS,down,5,scot,9,20,0.6,0.9962311557788943,4.2,6.0
