game_type,path,L_window,reasoning_mode,p_bin,rounds,coop_rate,avg_p,mean_points1,mean_points2
BoS,up,5,baseline,0,5,1.0,0.5,10.0,7.0
BoS,up,5,baseline,1,2,1.0,0.5020100502512563,10.0,7.0
BoS,up,5,baseline,3,1,1.0,0.5040201005025126,10.0,7.0
BoS,up,5,baseline,5,1,1.0,0.5060301507537689,10.0,7.0
BoS,up,5,baseline,6,1,1.0,0.5080402010050251,10.0,7.0
BoS,up,5,baseline,8,1,1.0,0.5100502512562815,10.0,7.0
BoS,up,5,baseline,9,1,1.0,0.5120603015075377,10.0,7.0
BoS,up,5,cot,0,5,1.0,0.5,7.0,10.0
BoS,up,5,cot,1,2,1.0,0.5020100502512563,7.0,10.0
BoS,up,5,cot,3,1,0.0,0.5040201005025126,0.0,0.0
BoS,up,5,cot,5,1,1.0,0.5060301507537689,7.0,10.0
BoS,up,5,cot,6,1,1.0,0.5080402010050251,10.0,7.0
BoS,up,5,cot,8,1,0.0,0.5100502512562815,0.0,0.0
BoS,up,5,cot,9,1,1.0,0.5120603015075377,7.0,10.0
BoS,up,5,scot,0,5,0.0,0.5,0.0,0.0
BoS,up,5,scot,1,2,0.5,0.5020100502512563,3.5,5.0
BoS,up,5,scot,3,1,1.0,0.5040201005025126,7.0,10.0
BoS,up,5,scot,5,1,1.0,0.5060301507537689,7.0,10.0
BoS,up,5,scot,6,1,1.0,0.5080402010050251,7.0,10.0
BoS,up,5,scot,8,1,1.0,0.5100502512562815,7.0,10.0
BoS,up,5,scot,9,1,1.0,0.5120603015075377,7.0,10.0
