game_type,path,L_window,reasoning_mode,p_bin,rounds,coop_rate,avg_p,mean_points1,mean_points2
BoS,down,5,baseline,0,8,1.0,0.9233668341708543,10.0,7.0
BoS,down,5,baseline,1,6,1.0,0.9321608040201005,10.0,7.0
BoS,down,5,baseline,2,6,1.0,0.9396984924623116,10.0,7.0
BoS,down,5,baseline,3,6,1.0,0.9472361809045227,10.0,7.0
BoS,down,5,baseline,4,10,1.0,0.9565326633165828,10.0,7.0
BoS,down,5,baseline,5,12,1.0,0.9648241206030151,10.0,7.0
BoS,down,5,baseline,6,12,1.0,0.9723618090452261,10.0,7.0
BoS,down,5,baseline,7,12,1.0,0.9798994974874372,10.0,7.0
BoS,down,5,baseline,8,15,1.0,0.9874371859296482,10.0,7.0
BoS,down,5,baseline,9,20,1.0,0.9962311557788943,10.0,7.0
BoS,down,5,cot,0,8,0.75,0.9233668341708543,5.25,7.5
BoS,down,5,cot,1,6,1.0,0.9321608040201005,7.5,9.5
BoS,down,5,cot,2,6,1.0,0.9396984924623116,7.5,9.5
BoS,down,5,cot,3,6,0.6666666666666666,0.9472361809045227,4.666666666666667,6.666666666666667
BoS,down,5,cot,4,10,0.9,0.9565326633165828,6.3,9.0
BoS,down,5,cot,5,12,0.8333333333333334,0.9648241206030151,5.833333333333333,8.333333333333334
BoS,down,5,cot,6,12,0.5833333333333334,0.9723618090452261,4.083333333333333,5.833333333333333
BoS,down,5,cot,7,12,0.75,0.9798994974874372,5.5,7.25
BoS,down,5,cot,8,15,0.4666666666666667,0.9874371859296482,3.2666666666666666,4.666666666666667
BoS,down,5,cot,9,20,0.5,0.9962311557788943,3.5,5.0
BoS,down,5,scot,0,8,1.0,0.9233668341708543,7.0,10.0
BoS,down,5,scot,1,6,1.0,0.9321608040201005,7.0,10.0
BoS,down,5,scot,2,6,1.0,0.9396984924623116,7.0,10.0
BoS,down,5,scot,3,6,1.0,0.9472361809045227,7.0,10.0
BoS,down,5,scot,4,10,1.0,0.9565326633165828,7.0,10.0
BoS,down,5,scot,5,12,1.0,0.9648241206030151,7.0,10.0
BoS,down,5,scot,6,12,1.0,0.9723618090452261,7.0,10.0
BoS,down,5,scot,7,12,1.0,0.9798994974874372,7.0,10.0
BoS,down,5,scot,8,15,1.0,0.9874371859296482,7.6,9.4
BoS,down,5,scot,9,20,0.65,0.9962311557788943,5.0,6.05
