match_id,game_type,horizon_type,path,L_window,reasoning_mode,seed,max_round,player1,player2,round,p_now,p_in_prompt,answer1,answer2,points1,points2,total1,total2
exp3-BoS-up-baseline-seed0-rep0,BoS,continuation_dynamic,up,5,baseline,0,200,act_deepseek,act_kimi,1,0.5,1,J,J,10,7,10,7
exp3-BoS-up-baseline-seed2-rep0,BoS,continuation_dynamic,up,5,baseline,2,200,act_deepseek,act_kimi,1,0.5,1,J,J,10,7,10,7
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,1,0.5,1,J,J,10,7,10,7
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,2,0.5020100502512563,1,J,J,10,7,20,14
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,3,0.5040201005025126,1,J,J,10,7,30,21
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,4,0.5060301507537689,1,J,J,10,7,40,28
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,5,0.5080402010050251,1,J,J,10,7,50,35
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,6,0.5100502512562815,1,J,J,10,7,60,42
exp3-BoS-up-baseline-seed4-rep0,BoS,continuation_dynamic,up,5,baseline,4,200,act_deepseek,act_kimi,7,0.5120603015075377,1,J,J,10,7,70,49
exp3-BoS-up-baseline-seed6-rep0,BoS,continuation_dynamic,up,5,baseline,6,200,act_deepseek,act_kimi,1,0.5,1,J,J,10,7,10,7
exp3-BoS-up-baseline-seed8-rep0,BoS,continuation_dynamic,up,5,baseline,8,200,act_deepseek,act_kimi,1,0.5,1,J,J,10,7,10,7
exp3-BoS-up-baseline-seed8-rep0,BoS,continuation_dynamic,up,5,baseline,8,200,act_deepseek,act_kimi,2,0.5020100502512563,1,J,J,10,7,20,14
exp3-BoS-up-cot-seed0-rep0,BoS,continuation_dynamic,up,5,cot,0,200,act_deepseek,act_kimi,1,0.5,1,F,F,7,10,7,10
exp3-BoS-up-cot-seed2-rep0,BoS,continuation_dynamic,up,5,cot,2,200,act_deepseek,act_kimi,1,0.5,1,F,F,7,10,7,10
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,1,0.5,1,F,F,7,10,7,10
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,2,0.5020100502512563,1,F,F,7,10,14,20
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,3,0.5040201005025126,1,F,J,0,0,14,20
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,4,0.5060301507537689,1,F,F,7,10,21,30
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,5,0.5080402010050251,1,F,F,7,10,28,40
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,6,0.5100502512562815,1,F,F,7,10,35,50
exp3-BoS-up-cot-seed4-rep0,BoS,continuation_dynamic,up,5,cot,4,200,act_deepseek,act_kimi,7,0.5120603015075377,1,F,F,7,10,42,60
exp3-BoS-up-cot-seed6-rep0,BoS,continuation_dynamic,up,5,cot,6,200,act_deepseek,act_kimi,1,0.5,1,F,F,7,10,7,10
exp3-BoS-up-cot-seed8-rep0,BoS,continuation_dynamic,up,5,cot,8,200,act_deepseek,act_kimi,1,0.5,1,F,F,7,10,7,10
exp3-BoS-up-cot-seed8-rep0,BoS,continuation_dynamic,up,5,cot,8,200,act_deepseek,act_kimi,2,0.5020100502512563,1,F,J,0,0,7,10
exp3-BoS-up-scot-seed0-rep0,BoS,continuation_dynamic,up,5,scot,0,200,act_deepseek,act_kimi,1,0.5,1,J,F,0,0,0,0
exp3-BoS-up-scot-seed2-rep0,BoS,continuation_dynamic,up,5,scot,2,200,act_deepseek,act_kimi,1,0.5,1,J,F,0,0,0,0
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,1,0.5,1,J,F,0,0,0,0
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,2,0.5020100502512563,1,F,F,7,10,7,10
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,3,0.5040201005025126,1,F,F,7,10,14,20
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,4,0.5060301507537689,1,F,F,7,10,21,30
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,5,0.5080402010050251,1,J,F,0,0,21,30
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,6,0.5100502512562815,1,F,F,7,10,28,40
exp3-BoS-up-scot-seed4-rep0,BoS,continuation_dynamic,up,5,scot,4,200,act_deepseek,act_kimi,7,0.5120603015075377,1,F,F,7,10,35,50
exp3-BoS-up-scot-seed6-rep0,BoS,continuation_dynamic,up,5,scot,6,200,act_deepseek,act_kimi,1,0.5,1,J,F,0,0,0,0
exp3-BoS-up-scot-seed8-rep0,BoS,continuation_dynamic,up,5,scot,8,200,act_deepseek,act_kimi,1,0.5,1,J,F,0,0,0,0
exp3-BoS-up-scot-seed8-rep0,BoS,continuation_dynamic,up,5,scot,8,200,act_deepseek,act_kimi,2,0.5020100502512563,1,F,F,7,10,7,10
