game_type,path,L_window,reasoning_mode,p_bin,rounds,coop_rate,avg_p,mean_points1,mean_points2
PD,rw,5,baseline,0,3,1.0,0.0088382818295756,8.0,8.0
PD,rw,5,baseline,5,3,1.0,0.5212868987449308,8.0,8.0
PD,rw,5,baseline,6,1,1.0,0.6396940285787683,8.0,8.0
PD,rw,5,baseline,7,1,1.0,0.7916210762972646,8.0,8.0
PD,rw,5,baseline,8,2,1.0,0.8464764759242325,8.0,8.0
PD,rw,5,baseline,9,16,1.0,1.0,8.0,8.0
PD,rw,5,cot,0,3,0.3333333333333333,0.0088382818295756,4.333333333333333,7.666666666666667
PD,rw,5,cot,5,3,0.3333333333333333,0.5212868987449308,7.666666666666667,4.333333333333333
PD,rw,5,cot,6,1,0.0,0.6396940285787683,10.0,0.0
PD,rw,5,cot,7,1,0.0,0.7916210762972646,10.0,0.0
PD,rw,5,cot,8,2,0.5,0.8464764759242325,6.5,6.5
PD,rw,5,cot,9,16,0.375,1.0,6.75,5.5
PD,rw,5,scot,0,3,0.3333333333333333,0.0088382818295756,7.666666666666667,4.333333333333333
PD,rw,5,scot,5,3,0.6666666666666666,0.5212868987449308,7.0,7.0
PD,rw,5,scot,6,1,0.0,0.6396940285787683,5.0,5.0
PD,rw,5,scot,7,1,1.0,0.7916210762972646,8.0,8.0
PD,rw,5,scot,8,2,0.5,0.8464764759242325,6.5,6.5
PD,rw,5,scot,9,16,0.8125,1.0,7.75,7.125
