game_type,path,L_window,reasoning_mode,p_bin,rounds,coop_rate,avg_p,mean_points1,mean_points2
PD,down,5,baseline,0,8,1.0,0.9233668341708543,8.0,8.0
PD,down,5,baseline,1,6,1.0,0.9321608040201005,8.0,8.0
PD,down,5,baseline,2,6,1.0,0.9396984924623116,8.0,8.0
PD,down,5,baseline,3,6,1.0,0.9472361809045227,8.0,8.0
PD,down,5,baseline,4,10,1.0,0.9565326633165828,8.0,8.0
PD,down,5,baseline,5,12,1.0,0.9648241206030151,8.0,8.0
PD,down,5,baseline,6,12,1.0,0.9723618090452261,8.0,8.0
PD,down,5,baseline,7,12,1.0,0.9798994974874372,8.0,8.0
PD,down,5,baseline,8,15,1.0,0.9874371859296482,8.0,8.0
PD,down,5,baseline,9,20,1.0,0.9962311557788943,8.0,8.0
PD,down,5,cot,0,8,1.0,0.9233668341708543,8.0,8.0
PD,down,5,cot,1,6,0.8333333333333334,0.9321608040201005,6.666666666666667,8.333333333333334
PD,down,5,cot,2,6,1.0,0.9396984924623116,8.0,8.0
PD,down,5,cot,3,6,0.8333333333333334,0.9472361809045227,6.666666666666667,8.333333333333334
PD,down,5,cot,4,10,0.8,0.9565326633165828,6.4,8.4
PD,down,5,cot,5,12,0.8333333333333334,0.9648241206030151,6.666666666666667,8.333333333333334
PD,down,5,cot,6,12,1.0,0.9723618090452261,8.0,8.0
PD,down,5,cot,7,12,1.0,0.9798994974874372,8.0,8.0
PD,down,5,cot,8,15,1.0,0.9874371859296482,8.0,8.0
PD,down,5,cot,9,20,0.5,0.9962311557788943,8.0,5.0
PD,down,5,scot,0,8,1.0,0.9233668341708543,8.0,8.0
PD,down,5,scot,1,6,1.0,0.9321608040201005,8.0,8.0
PD,down,5,scot,2,6,1.0,0.9396984924623116,8.0,8.0
PD,down,5,scot,3,6,1.0,0.9472361809045227,8.0,8.0
PD,down,5,scot,4,10,1.0,0.9565326633165828,8.0,8.0
PD,down,5,scot,5,12,1.0,0.9648241206030151,8.0,8.0
PD,down,5,scot,6,12,1.0,0.9723618090452261,8.0,8.0
PD,down,5,scot,7,12,1.0,0.9798994974874372,8.0,8.0
PD,down,5,scot,8,15,1.0,0.9874371859296482,8.0,8.0
PD,down,5,scot,9,20,1.0,0.9962311557788943,8.0,8.0
