experiment_id,game_type,p_value,player1,player2,cooperation_rate,coordination_rate,player1_cooperation_rate,player2_cooperation_rate,final_score_p1,final_score_p2
1,PD,nan,deep,gpt,0.1,0.1,0.4,0.3,48,58
2,PD,0.3,deep,gpt,0,0,0.06666666666666667,0.03333333333333333,145,155
3,PD,0.6,deep,gpt,0,0,0.06666666666666667,0.06666666666666667,150,150
4,PD,nan,deep,kimi,1,1,1,1,240,240
5,PD,0.3,deep,kimi,0.9666666666666667,0.9666666666666667,0.9666666666666667,1,242,232
6,PD,0.6,deep,kimi,0.9666666666666667,0.9666666666666667,0.9666666666666667,1,242,232
8,PD,0.3,gpt,kimi,1,1,1,1,240,240
9,PD,0.6,gpt,kimi,1,1,1,1,240,240
10,BOS,nan,deep,gpt,0.8666666666666667,0.8666666666666667,0.9666666666666667,0.9,260,182
11,BOS,0.3,deep,gpt,0.6666666666666666,0.6666666666666666,0.3,0.3,152,188
12,BOS,0.6,deep,gpt,0.9333333333333333,0.9333333333333333,1,0.9333333333333333,280,196
13,BOS,nan,deep,kimi,0.8666666666666667,0.8666666666666667,0.13333333333333333,0,182,260
14,BOS,0.3,deep,kimi,0.7333333333333333,0.7333333333333333,0.26666666666666666,0,154,220
15,BOS,0.6,deep,kimi,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,140,200
16,BOS,nan,gpt,kimi,0.7666666666666667,0.7666666666666667,0.23333333333333334,0,161,230
17,BOS,0.3,gpt,kimi,0.8333333333333334,0.8333333333333334,0.16666666666666666,0,175,250
18,BOS,0.6,gpt,kimi,0.8,0.8,0.2,0,168,240
