experiment_name,game_type,horizon_type,T_value,P_value,T_in_prompt,p_in_prompt,player1,player2,success_rate,cooperation_rate,coordination_rate,avg_game_length,total_games,avg_score_p1,avg_score_p2
exp2_deepseek_vs_chatgpt_T_and_p,PD,fixed,40.0,,1,0,deep,gpt,0.405,0.405,0.0,40.0,5,6.14,6.29
exp2_deepseek_vs_chatgpt_T_and_p,PD,fixed,60.0,,1,0,deep,gpt,0.21,0.21,0.0,60.0,5,5.513333333333334,5.746666666666667
exp2_deepseek_vs_chatgpt_T_and_p,PD,fixed,80.0,,1,0,deep,gpt,0.21,0.21,0.0,80.0,5,5.5925,5.6675
exp2_deepseek_vs_chatgpt_T_and_p,PD,fixed,100.0,,1,0,deep,gpt,0.6,0.6,0.0,100.0,5,6.75,6.85
exp2_deepseek_vs_chatgpt_T_and_p,PD,fixed,120.0,,1,0,deep,gpt,0.2683333333333333,0.2683333333333333,0.0,120.0,5,5.888333333333334,5.721666666666667
exp2_deepseek_vs_chatgpt_T_and_p,PD,continuation,,0.3,0,1,deep,gpt,0.7777777777777778,0.7777777777777778,0.0,1.8,5,6.222222222222222,8.444444444444445
exp2_deepseek_vs_chatgpt_T_and_p,PD,continuation,,0.4,0,1,deep,gpt,0.4166666666666667,0.4166666666666667,0.0,2.4,5,5.833333333333333,6.666666666666667
exp2_deepseek_vs_chatgpt_T_and_p,PD,continuation,,0.5,0,1,deep,gpt,0.46153846153846156,0.46153846153846156,0.0,2.6,5,5.230769230769231,7.538461538461538
exp2_deepseek_vs_chatgpt_T_and_p,PD,continuation,,0.6,0,1,deep,gpt,0.3333333333333333,0.3333333333333333,0.0,3.0,5,5.333333333333333,6.666666666666667
exp2_deepseek_vs_chatgpt_T_and_p,PD,continuation,,0.7,0,1,deep,gpt,0.42105263157894735,0.42105263157894735,0.0,3.8,5,4.421052631578948,8.105263157894736
exp2_deepseek_vs_kimi_T_and_p,PD,fixed,40.0,,1,0,deep,kimi,1.0,1.0,0.0,40.0,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,fixed,60.0,,1,0,deep,kimi,1.0,1.0,0.0,60.0,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,fixed,80.0,,1,0,deep,kimi,1.0,1.0,0.0,80.0,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,fixed,100.0,,1,0,deep,kimi,1.0,1.0,0.0,100.0,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,fixed,120.0,,1,0,deep,kimi,1.0,1.0,0.0,120.0,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,continuation,,0.3,0,1,deep,kimi,1.0,1.0,0.0,1.8,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,continuation,,0.4,0,1,deep,kimi,1.0,1.0,0.0,2.4,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,continuation,,0.5,0,1,deep,kimi,1.0,1.0,0.0,2.6,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,continuation,,0.6,0,1,deep,kimi,1.0,1.0,0.0,3.0,5,8.0,8.0
exp2_deepseek_vs_kimi_T_and_p,PD,continuation,,0.7,0,1,deep,kimi,1.0,1.0,0.0,3.8,5,8.0,8.0
exp2_chatgpt_vs_kimi_T_and_p,PD,fixed,40.0,,1,0,gpt,kimi,0.4,0.4,0.0,40.0,5,6.075,6.325
exp2_chatgpt_vs_kimi_T_and_p,PD,fixed,60.0,,1,0,gpt,kimi,0.2,0.2,0.0,60.0,5,5.45,5.75
exp2_chatgpt_vs_kimi_T_and_p,PD,fixed,80.0,,1,0,gpt,kimi,0.205,0.205,0.0,80.0,5,5.515,5.715
