experiment_name,experiment_id,game_scenario,reasoning_mode,p_trend,p_start,p_end,p_change,player1,player2,success_rate,cooperation_rate,coordination_rate,avg_game_length,total_games,avg_score_p1,avg_score_p2,has_memory,memory_window
exp4_deepseek_vs_chatgpt_up,1,PD,baseline,up,0.1,0.5020100502512563,0.40201005025125636,deepseek,gpt,0.6666666666666666,0.6666666666666666,0.75,2.4,5,5.75,8.25,True,5
exp4_deepseek_vs_chatgpt_up,1,PD,cot,up,0.1,0.5020100502512563,0.40201005025125636,deepseek,gpt,0.3333333333333333,0.3333333333333333,0.75,2.4,5,6.416666666666667,5.583333333333333,True,5
exp4_deepseek_vs_chatgpt_up,1,PD,scot,up,0.1,0.5020100502512563,0.40201005025125636,deepseek,gpt,0.75,0.75,0.75,2.4,5,6.0,8.5,True,5
exp4_deepseek_vs_chatgpt_down,2,PD,baseline,down,1.0,0.984924623115578,0.015075376884421954,deepseek,gpt,1.0,1.0,1.0,24.333333333333332,3,8.0,8.0,True,5
exp4_deepseek_vs_chatgpt_down,2,PD,cot,down,1.0,0.984924623115578,0.015075376884421954,deepseek,gpt,0.5607476635514018,0.5607476635514018,0.616822429906542,21.4,5,5.233644859813084,8.130841121495328,True,5
exp4_deepseek_vs_chatgpt_down,2,PD,scot,down,1.0,0.984924623115578,0.015075376884421954,deepseek,gpt,0.9813084112149533,0.9813084112149533,0.9813084112149533,21.4,5,7.850467289719626,8.037383177570094,True,5
exp4_deepseek_vs_chatgpt_random,3,PD,baseline,random,0.5,0.504560235830991,0.004560235830990966,deepseek,gpt,0.3076923076923077,0.3076923076923077,0.6923076923076923,2.1666666666666665,6,4.384615384615385,7.461538461538462,True,5
exp4_deepseek_vs_chatgpt_random,3,PD,cot,random,0.5,0.504560235830991,0.004560235830990966,deepseek,gpt,0.0,0.0,0.7692307692307693,2.1666666666666665,6,6.153846153846154,3.8461538461538463,True,5
exp4_deepseek_vs_chatgpt_random,3,PD,scot,random,0.5,0.504560235830991,0.004560235830990966,deepseek,gpt,0.9230769230769231,0.9230769230769231,0.9230769230769231,2.1666666666666665,6,7.384615384615385,8.153846153846153,True,5
exp4_deepseek_vs_kimi_up,4,PD,baseline,up,0.5,0.5020100502512563,0.0020100502512563345,deepseek,kimi,1.0,1.0,1.0,2.4,5,8.0,8.0,True,5
exp4_deepseek_vs_kimi_up,4,PD,cot,up,0.5,0.5020100502512563,0.0020100502512563345,deepseek,kimi,0.08333333333333333,0.08333333333333333,0.16666666666666666,2.4,5,9.416666666666666,1.0833333333333333,True,5
exp4_deepseek_vs_kimi_up,4,PD,scot,up,0.5,0.5020100502512563,0.0020100502512563345,deepseek,kimi,0.3333333333333333,0.3333333333333333,0.5,2.4,5,4.333333333333333,7.666666666666667,True,5
exp4_deepseek_vs_kimi_down,5,PD,baseline,down,1.0,0.984924623115578,0.015075376884421954,deepseek,kimi,1.0,1.0,1.0,21.4,5,8.0,8.0,True,5
exp4_deepseek_vs_kimi_down,5,PD,cot,down,1.0,0.984924623115578,0.015075376884421954,deepseek,kimi,0.8504672897196262,0.8504672897196262,0.8878504672897196,21.4,5,7.5514018691588785,7.5514018691588785,True,5
